timestamp_ms,cpu_percent,used_memory_mb
1761618665437,23.90,16103.53
1761618665637,20.89,16105.66
1761618665837,21.25,16102.69
1761618666037,0.00,16099.48
1761618666235,24.53,16100.94
1761618666436,23.13,16099.83
1761618666637,20.89,16097.38
1761618666837,18.75,16094.58
1761618667033,19.62,16094.58
1761618667232,19.62,16094.58
1761618667437,21.21,16094.58
1761618667633,18.95,16094.58
1761618667837,0.00,16140.48
1761618668032,0.00,16141.20
1761618668237,0.00,16140.61
1761618668437,0.00,16140.00
1761618668637,22.19,16140.00
1761618668837,23.60,16140.00
1761618669037,21.12,16134.38
1761618669237,17.61,16137.97
1761618669437,18.99,16137.44
1761618669637,21.60,16140.86
1761618669837,21.52,16138.95
1761618670035,17.95,16138.95
1761618670237,19.88,16138.41
1761618670437,20.75,16137.88
1761618670637,0.00,16135.67
1761618670837,0.00,16135.67
1761618671037,23.59,16135.67
1761618671237,19.38,16135.67
1761618671437,18.87,16087.17
1761618671637,28.13,16092.61
1761618671837,27.50,16094.80
1761618672037,25.77,16095.61
1761618672237,20.51,16099.22
1761618672432,24.68,16101.94
1761618672634,22.15,16101.03
1761618672837,25.93,16104.53
1761618673033,0.00,16103.45
1761618673233,0.00,16102.59
1761618673436,20.63,16106.00
1761618673637,22.22,16103.48
1761618673837,22.98,16102.83
1761618674037,22.15,16101.17
1761618674237,22.50,16104.31
1761618674437,32.28,16109.14
1761618674637,34.78,16120.77
1761618674837,39.75,16128.28
1761618675037,42.95,16136.48
1761618675237,45.40,16157.86
1761618675437,42.77,16181.98
1761618675637,46.50,16181.98
1761618675837,44.44,16181.98
1761618676037,0.00,16201.84
1761618676237,0.00,16209.92
1761618676435,0.00,16222.06
1761618676637,44.06,16225.75
1761618676837,47.20,16234.41
1761618677037,49.37,16246.45
1761618677237,0.00,16252.56
1761618677437,0.00,16260.78
1761618677634,0.00,16265.61
1761618677837,32.50,16262.61
1761618678037,21.88,16261.39
1761618678237,0.00,16260.73
1761618678437,0.00,16260.19
1761618678634,0.00,16259.02
1761618678837,21.98,16256.14
1761618679037,23.13,16258.47
1761618679234,25.16,16265.20
1761618679437,24.54,16266.56
1761618679637,16.88,16266.25
1761618679837,18.47,16265.58
1761618680032,22.93,16264.27
1761618680237,20.73,16263.38
1761618680437,23.13,16264.50
1761618680637,20.75,16263.13
1761618680837,0.00,16263.13
1761618681037,20.44,16263.13
1761618681237,20.63,16263.13
1761618681437,19.50,16263.13
1761618681637,22.36,16266.42
1761618681837,21.15,16268.39
1761618682037,19.25,16278.58
1761618682237,17.83,16266.38
1761618682437,19.62,16164.70
1761618682637,19.63,16164.39
1761618682837,24.05,16167.39
1761618683037,26.09,16163.97
1761618683237,20.89,16160.59
1761618683433,21.52,16160.44
1761618683637,0.00,16160.03
1761618683832,0.00,16159.33
1761618684037,0.00,16165.83
1761618684233,0.00,16165.06
1761618684437,21.53,16169.59
1761618684637,24.05,16166.94
1761618684833,21.15,16166.94
1761618685037,44.51,16149.20
1761618685237,50.63,16156.39
1761618685437,50.31,16174.64
1761618685632,50.00,16174.64
1761618685833,50.00,16174.64
1761618686037,49.69,16207.38
1761618686234,0.00,16213.45
1761618686433,0.00,16210.55
1761618686637,40.97,16208.95
1761618686837,35.19,16214.64
1761618687037,37.11,16214.64
1761618687237,50.31,16219.63
1761618687436,45.28,16224.11
1761618687633,44.30,16224.11
1761618687837,49.08,16224.11
1761618688037,45.96,16224.11
1761618688232,49.03,16224.11
1761618688437,43.03,16236.86
1761618688633,46.50,16246.66
1761618688832,45.96,16242.27
1761618689037,44.10,16242.59
1761618689237,50.00,16242.59
1761618689437,42.86,16246.81
1761618689637,0.00,16276.53
1761618689836,0.00,16159.94
1761618690032,0.00,16166.33
1761618690235,37.58,16169.38
1761618690437,33.75,16174.95
1761618690637,35.00,16160.77
1761618690833,35.22,16158.56
1761618691037,0.00,16158.56
1761618691237,35.00,16158.56
1761618691437,43.48,16158.56
1761618691633,31.61,16153.28
1761618691837,46.30,16148.53
1761618692034,34.38,16147.39
1761618692237,36.08,16144.84
1761618692437,35.22,16145.88
1761618692637,35.63,16143.67
1761618692833,34.18,16154.16
1761618693037,40.74,16154.36
1761618693233,0.00,16159.06
1761618693437,41.38,16161.66
1761618693637,37.50,16139.27
1761618693837,32.50,16137.50
1761618694037,32.91,16136.67
1761618694237,43.21,16136.67
1761618694437,40.63,16136.67
1761618694637,45.34,16136.67
1761618694837,32.92,16129.88
1761618695032,41.18,16133.86
1761618695237,32.52,16135.97
1761618695437,42.94,16135.97
1761618695635,41.67,16135.97
1761618695837,38.04,16135.97
1761618696037,34.81,16127.13
1761618696236,50.00,16123.59
1761618696432,49.35,16123.59
1761618696634,39.13,16123.59
1761618696832,42.59,16123.59
1761618697037,38.04,16126.19
1761618697237,49.37,16129.08
1761618697437,40.37,16124.34
1761618697636,47.50,16128.98
1761618697836,38.99,16128.98
1761618698033,46.20,16128.98
1761618698237,41.57,16121.97
1761618698437,31.21,16121.55
1761618698637,33.75,16114.84
1761618698837,33.96,16113.11
1761618699037,36.88,16115.45
1761618699237,37.97,16119.63
1761618699433,35.03,16118.75
1761618699637,41.10,16114.45
1761618699837,48.13,16114.45
1761618700037,36.48,16114.45
1761618700235,41.88,16114.45
1761618700435,43.75,16123.94
1761618700637,36.88,16116.14
1761618700837,44.10,16117.39
1761618701035,25.48,16113.58
1761618701237,23.13,16110.86
1761618701433,30.13,16111.77
1761618701632,33.13,16110.45
1761618701837,22.98,16112.91
