timestamp_ms,book_id,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761825380312,69256,612.870,0.14,41.18,4112.52
1761825380927,1120,613.869,0.27,41.65,4112.52
1761825381547,29079,618.326,0.54,42.18,4112.52
1761825382158,15999,610.194,0.14,42.51,4112.52
1761825382766,62054,606.686,0.14,42.99,4112.52
1761825383377,34173,609.210,0.28,43.27,4112.52
1761825383991,1132,613.064,0.41,43.58,4112.52
1761825384599,44572,607.347,0.14,44.05,4112.52
1761825385211,48194,611.230,0.28,44.36,4112.52
1761825385821,16750,608.930,0.14,44.68,4112.52
1761825386425,60733,603.736,0.14,45.15,4112.52
1761825387035,7290,609.229,0.28,45.37,4112.52
1761825387648,52410,612.027,0.41,45.70,4112.52
1761825388270,19971,614.885,0.68,46.46,4112.52
1761825388884,7070,612.677,0.27,46.77,4112.52
1761825389500,28061,615.214,0.27,47.27,4112.52
1761825390128,51352,626.574,0.81,11.58,4112.52
1761825390740,27304,610.789,0.28,11.58,4112.52
1761825391355,57386,611.579,0.41,11.58,4112.52
1761825391973,18748,617.111,0.27,12.15,4112.52
1761825392586,21005,611.786,0.27,12.86,4112.52
1761825393199,68454,611.670,0.27,12.86,4112.52
1761825393812,6687,612.419,0.14,13.68,4112.52
1761825394427,24515,613.193,0.41,13.68,4112.52
