timestamp_ms,term,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761607348290,science,30611.693,44.48,19.90,4294.97
1761607378902,love,30611.772,0.05,20.81,4294.97
1761607378904,war,30612.904,42.29,20.81,4294.97
1761607378904,book,30611.917,48.68,20.81,4294.97
1761607409523,death,30615.443,-1.00,21.17,4294.97
1761607409524,science,30616.261,54.62,21.17,4294.97
1761607409525,war,30616.111,43.40,21.17,4294.97
1761607409526,love,30615.438,0.04,21.17,4294.97
1761607440140,death,30614.150,0.03,21.28,4294.97
1761607440142,war,30614.104,42.38,21.28,4294.97
1761607440142,science,30615.577,45.46,21.28,4294.97
1761607440143,book,30615.994,52.56,21.28,4294.97
1761607470756,book,30613.443,0.04,21.64,4294.97
1761607470758,love,30615.268,31.70,21.64,4294.97
1761607470759,science,30613.410,25.36,21.64,4294.97
1761607501376,death,30614.208,0.03,22.24,4294.97
1761607501377,love,30614.702,0.00,22.24,4294.97
1761607501378,book,30614.331,37.61,22.24,4294.97
1761607501379,war,30614.577,48.44,22.24,4294.97
1761607531991,love,30610.806,0.03,23.41,4294.97
1761607531992,war,30613.359,18.82,23.41,4294.97
1761607531993,death,30614.723,43.76,23.41,4294.97
1761607531994,science,30614.846,30.90,23.41,4294.97
1761607562607,science,30613.405,0.03,23.52,4294.97
1761607562608,death,30613.923,61.71,23.52,4294.97
1761607562609,book,30615.285,32.53,23.52,4294.97
1761607593226,war,30614.610,0.04,23.74,4294.97
1761607593227,book,30613.944,-1.00,23.74,4294.97
1761607593228,science,30613.631,47.90,23.74,4294.97
1761607593228,love,30614.574,37.26,23.74,4294.97
1761607623843,book,30613.916,0.04,24.38,4294.97
1761607623844,love,30614.483,39.51,24.38,4294.97
1761607623844,war,30614.958,87.50,24.38,4294.97
1761607623845,death,30617.220,31.29,24.40,4294.97
1761607654457,science,30612.447,0.02,24.70,4294.97
1761607654462,war,30616.995,5.63,24.70,4294.97
1761607654463,death,30617.233,18.55,24.70,4294.97
1761607685089,death,30622.791,0.03,25.14,4294.97
1761607685091,love,30625.480,24.71,25.14,4294.97
1761607685091,book,30626.379,38.95,25.14,4294.97
1761607685092,science,30626.328,42.49,25.14,4294.97
1761607715713,war,30622.226,0.03,25.46,4294.97
1761607715714,love,30622.394,28.73,25.46,4294.97
1761607715715,science,30619.822,34.94,25.46,4294.97
1761607715718,book,30625.192,33.77,25.46,4294.97
1761607746335,love,30618.791,0.03,25.84,4294.97
1761607746338,death,30623.382,25.76,25.84,4294.97
1761607746339,war,30623.264,30.02,25.95,4294.97
1761607776965,science,30624.347,137.50,26.61,4294.97
1761607776966,death,30624.777,0.00,26.61,4294.97
1761607776967,war,30624.636,43.03,26.61,4294.97
1761607776968,book,30624.245,0.03,26.61,4294.97
1761607807582,book,30615.023,0.03,26.93,4294.97
1761607807588,love,30621.620,13.84,27.04,4294.97
1761607807589,death,30620.079,16.68,27.04,4294.97
1761607807592,science,30624.184,10.18,27.06,4294.97
1761607838208,love,30619.308,0.02,27.06,4294.97
1761607838210,war,30625.118,29.75,27.06,4294.97
1761607868831,war,30617.829,0.04,27.89,4294.97
1761607868835,death,30622.319,20.97,27.89,4294.97
1761607868836,book,30623.442,39.24,27.89,4294.97
1761607868837,science,30622.936,41.98,27.89,4294.97
1761607899444,book,30607.417,0.03,28.47,4294.97
1761607899445,death,30606.631,38.06,28.47,4294.97
1761607899446,science,30607.053,36.31,28.47,4294.97
1761607899446,love,30611.176,52.31,28.47,4294.97
1761607930057,love,30611.084,0.02,28.47,4294.97
1761607930058,war,30612.326,47.75,28.47,4294.97
1761607960675,war,30613.187,0.03,29.03,4294.97
1761607960676,book,30614.998,38.10,29.03,4294.97
1761607960677,science,30614.514,64.97,29.03,4294.97
1761607960677,death,30613.785,36.92,29.03,4294.97
1761607991288,death,30609.505,-1.00,29.44,4294.97
1761607991289,book,30611.461,58.30,29.44,4294.97
1761607991290,love,30612.144,43.12,29.44,4294.97
1761607991291,science,30610.289,0.05,29.44,4294.97
1761608021904,book,30612.366,0.02,29.85,4294.97
1761608021905,love,30613.786,0.00,29.85,4294.97
1761608021906,war,30614.525,38.05,29.85,4294.97
1761608054282,science,30628.925,-1.00,14.37,4294.97
1761608054284,love,30628.421,13.02,14.37,4294.97
1761608054284,book,30633.166,33.22,14.37,4294.97
1761608054285,death,30628.602,12.50,14.37,4294.97
1761608054287,death,30628.950,0.00,14.37,4294.97
1761608054288,war,30628.193,20.67,14.37,4294.97
1761608054289,science,30626.923,38.82,14.37,4294.97
1761608054291,book,30628.859,147.25,14.37,4294.97
1761608084895,war,30610.866,0.05,15.28,4294.97
1761608084896,love,30606.728,38.21,15.28,4294.97
1761608084897,war,30607.905,34.44,15.28,4294.97
1761608084898,death,30608.780,53.65,15.28,4294.97
1761608084899,love,30611.456,47.58,15.28,4294.97
1761608084900,book,30608.772,44.63,16.25,4294.97
1761608084902,science,30608.754,39.19,15.28,4294.97
1761608084903,book,30614.888,137.50,16.25,4294.97
1761608115510,war,30611.772,0.05,16.50,4294.97
1761608115512,death,30608.734,45.51,16.50,4294.97
1761608115512,science,30614.055,46.01,16.50,4294.97
1761608115512,book,30610.386,35.97,16.50,4294.97
1761608115513,science,30610.709,43.75,16.50,4294.97
1761608115513,love,30613.067,45.36,16.50,4294.97
1761608115513,death,30614.443,52.96,16.50,4294.97
1761608146136,science,30610.530,0.06,17.04,4294.97
